index,NAME,DATASET_NAME,PATH_TO_ORIGINAL_IMAGE,MASK
0,Image_01L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01L_1stHO.png
1,Image_01L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01L_2ndHO.png
2,Image_01R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01R_1stHO.png
3,Image_01R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_01R_2ndHO.png
4,Image_02L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02L_1stHO.png
5,Image_02L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02L_2ndHO.png
6,Image_02R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02R_1stHO.png
7,Image_02R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_02R_2ndHO.png
8,Image_03L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03L_1stHO.png
9,Image_03L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03L_2ndHO.png
10,Image_03R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03R_1stHO.png
11,Image_03R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_03R_2ndHO.png
12,Image_04L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04L_1stHO.png
13,Image_04L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04L_2ndHO.png
14,Image_04R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04R_1stHO.png
15,Image_04R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_04R_2ndHO.png
16,Image_05L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05L_1stHO.png
17,Image_05L,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05L.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05L_2ndHO.png
18,Image_05R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05R_1stHO.png
19,Image_05R,CHASEDB1,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05R.jpg,D:\Dropbox (ARG@CS.FEI.VSB)\Dataset - retiny\images_from_doctor\ML\SEGMENTATION\VESSELS\datasets\CHASEDB1\Image_05R_2ndHO.png
